,X_CCF,Y_CCF,Z_CCF
336,-33374.813747831315,-59798.803508109464,-1571329.2572032514
337,-33374.87992894227,-59802.301568350755,-1577025.2416588813
338,-33374.36092993513,-59805.66232108043,-1582710.4823271632
339,-33374.21907443157,-59808.61836826089,-1588421.4265571856
340,-33374.680200147974,-59811.33774469713,-1594164.5565611853
341,-33373.549339060446,-59814.03011188717,-1599856.881308982
342,-33372.16295070076,-59816.448380128706,-1605548.2331758733
343,-33371.2864815298,-59818.70530320642,-1611266.6747880392
344,-33370.38465824445,-59820.83180024513,-1616991.9583891793
345,-33368.71624728736,-59822.62129976018,-1622694.6882130536
346,-33366.76167407201,-59824.117727569996,-1628391.9162049727
347,-33365.031143472035,-59825.52024111781,-1634103.8088561113
348,-33363.382525873494,-59826.8256967071,-1639825.059323024
349,-33361.6576439834,-59827.975522946545,-1645548.9294936445
350,-33359.37332057104,-59828.62583402254,-1651251.0501711427
351,-33356.99721276661,-59829.01775510916,-1656950.9824243002
352,-33354.61178671354,-59829.20484341564,-1662651.8208165318
353,-33352.45462482277,-59829.42602799523,-1668367.5449713045
354,-33350.123667835396,-59829.301760313305,-1674073.5959893505
355,-33347.76302586871,-59828.94222272539,-1679776.5273415311
356,-33345.90023746827,-59829.088939208144,-1685519.895213591
357,-33343.59535891075,-59828.44526428666,-1691225.8476304
358,-33341.24014897606,-59827.44102446002,-1696919.174672333
359,-33338.90889041049,-59826.11319551153,-1702600.64437254
360,-33337.09362734406,-59825.727889306974,-1708348.3071130547
361,-33335.04150298321,-59824.407499063775,-1714044.705124808
362,-33333.1911895876,-59823.39522157209,-1719767.9370369662
363,-33331.36276135672,-59821.85948481785,-1725461.5463106572
364,-33329.6897812846,-59820.659071456204,-1731184.276129269
365,-33328.11009993102,-59819.25803841045,-1736897.6568384692
366,-33326.65287771032,-59817.74875408584,-1742606.646299887
367,-33325.27854371516,-59816.3637405007,-1748330.4784444564
368,-33324.11322169575,-59814.66390867427,-1754027.8234500014
369,-33323.043177749925,-59813.084478783676,-1759737.5189659311
370,-33322.107007755694,-59811.503647145786,-1765447.2963461196
371,-33321.309517430076,-59809.92719630082,-1771156.4419660317
372,-33320.63725595656,-59808.380192353114,-1776867.0098858953
373,-33320.28371866984,-59806.72839874514,-1782552.321532671
374,-33319.683846863045,-59805.380815483615,-1788288.5133228116
375,-33319.44783638085,-59803.924675332535,-1793993.2905296788
376,-33319.13071844638,-59802.595273778425,-1799722.6815964754
377,-33318.89740224398,-59801.30036685312,-1805455.2869460564
378,-33319.04769019893,-59800.00995485226,-1811156.6020916326
379,-33319.51255634989,-59798.80590254345,-1816834.849935428
380,-33319.403620801095,-59797.681005647784,-1822590.2900825355
381,-33319.96871913657,-59796.6623409736,-1828279.9556881594
382,-33320.3596319167,-59795.69925082159,-1834000.0220442147
383,-33320.927953287195,-59794.84203018238,-1839709.1765603602
384,-33321.51859170679,-59794.05840887201,-1845424.8374884287
385,-33322.141637935274,-59793.345610882345,-1851145.4225780903
386,-33322.97138137401,-59792.792647493654,-1856847.2035349635
387,-33323.675638015695,-59792.23558556035,-1862573.200539866
388,-33324.74272994811,-59791.97566965744,-1868253.222942046
389,-33325.42276589072,-59791.510957364575,-1873996.936869571
390,-33326.39995193948,-59791.333559551276,-1879699.2342559907
391,-33327.344650573854,-59791.201564055584,-1885410.0641912594
392,-33328.28245589552,-59791.13144318338,-1891125.043682874
393,-33329.27601107368,-59791.199707881606,-1896829.450548911
394,-33330.19827594029,-59791.25387587305,-1902550.4513841614
395,-33331.14916178652,-59791.42448911436,-1908263.5477577024
396,-33332.1010273524,-59791.6886563091,-1913972.077935416
397,-33333.01233086707,-59791.975181830276,-1919688.2341290566
398,-33333.885696068326,-59792.2740111941,-1925413.4726538626
399,-33334.78699981363,-59792.79265545011,-1931106.7528865454
400,-33335.57819611504,-59793.06211903452,-1936859.6315084153
401,-33336.38369016793,-59793.54494747456,-1942579.674876262
402,-33337.15626146138,-59794.19545437389,-1948271.3375133933
403,-33337.87445573541,-59794.7228428167,-1953997.8115512254
404,-33338.55087216252,-59795.301943411665,-1959719.8820360953
405,-33339.13824577528,-59796.07437471591,-1965396.022154106
406,-33339.742265523564,-59796.59399540168,-1971146.6401607823
407,-33340.20834038632,-59797.352507992415,-1976829.3506382373
408,-33340.769222446856,-59797.84654735544,-1982604.9175891103
409,-33341.20763327914,-59798.492396367124,-1988333.8758272233
410,-33341.67412363208,-59799.069345180425,-1994098.785142385
411,-33342.08306310579,-59799.682402214195,-1999856.733349686
412,-33342.22453647331,-59800.43758336613,-2005528.084777402
413,-56599.88923477075,-32680.276081702497,-76367.5704820629
414,-58780.809811154475,-36219.70833119678,-82077.31861062326
415,-60574.631078558275,-39707.375047452355,-87794.42162970665
416,-62158.24534019554,-43142.7881868521,-93501.2279186659
417,-63496.76804585548,-46515.08747456351,-99201.68607277847
418,4436.988054336698,2995.240398440768,3158.2519491995313
419,-1169.6901227515382,2266.9192809138563,-2546.2551965016883
420,-6673.389948862485,1086.1106970467429,-8254.257144735018
421,-12037.76984349405,-484.79726163122837,-13963.85293633477
422,-17241.029677326856,-2384.910816140664,-19672.615616822877
423,-22287.915828427816,-4543.545669684332,-25375.80259365827
424,-27111.633529437226,-6997.770683212089,-31080.878604933612
425,-31700.66948287074,-9695.25116297087,-36785.85982889164
426,-36043.537706788775,-12597.095121171104,-42489.746999666444
427,-40120.70041319127,-15674.971784196705,-48193.003583175676
428,-43900.06988121931,-18904.393963134455,-53897.68016543421
429,-47443.0593939437,-22230.835087001975,-59595.80934706383
430,-50591.59860623976,-25663.69848883463,-65303.600478547174
431,-53437.90892301147,-29141.648731352558,-71010.36933464394
432,-56002.97679887631,-32639.80065722009,-76713.68854722213
433,-58193.999283961704,-36129.27495014861,-82423.28196662456
434,-60128.03963424019,-39592.29431623241,-88127.06017278771
435,-61749.27375606424,-43002.32631147773,-93831.29869831538
436,-63071.87666897055,-46339.174587484114,-99535.10919346589
437,-64122.30620009662,-49591.28193649492,-105236.29007660641
438,-39173.635058358814,-78184.79002921618,-236553.4220816692
439,-37581.08456334957,-77500.57038640667,-242266.1658333782
440,-36033.003780096995,-76769.00177769024,-247969.97766326973
441,-34572.00122061248,-75938.39816690549,-253678.70324839506
442,-33172.454332183195,-75058.41833414958,-259382.07297735004
443,-31881.527284030708,-74100.36598342372,-265092.1532291921
444,-30644.95620267345,-73117.75339243087,-270793.2702759519
445,-29521.917292781443,-72083.93798011099,-276499.83449162816
446,-28498.99442059036,-71021.5413613899,-282207.513876625
447,-27538.941951398367,-69948.4675773568,-287907.4493533267
448,-26710.198443110632,-68858.04645992207,-293614.9802912341
449,-25971.10904322043,-67768.03969647623,-299320.5802101331
450,-25297.51845833475,-66682.22638412652,-305018.9935272165
451,-24747.865366112906,-65610.14576370698,-310723.4051680675
452,-24297.2535364903,-64559.72025450259,-316428.69476692
453,-23927.613406632692,-63533.316740648566,-322131.21761968604
454,-23671.809080943058,-62548.05853079128,-327839.39199560205
455,-23501.48695823834,-61602.98543360726,-333547.53573754255
456,-23394.72353267383,-60692.68962733544,-339250.910460784
457,-23385.053681738344,-59840.30778563295,-344959.29062218603
458,-23465.78841630833,-59052.4798242061,-350672.93800961156
459,-23567.75939274177,-58284.99377192708,-356372.6204979695
460,-23789.182997462525,-57619.97568887316,-362090.3769738
